Senator Name,Senator URL,Senator ID,Birth Date,Constituency,Parliamentary Group,Committee Name,Committee URL
ANISIE Monica-Cristina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dad3c5ee-3157-410a-85ff-094a63524104,dad3c5ee-3157-410a-85ff-094a63524104,19.07.1973,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru cercetarea abuzurilor, combaterea corupției și petiții",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=f8ec429d-75f4-4b5b-a199-1eaa5eeace09
ANTAL István-Loránt,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=de52f6df-260b-4042-9a60-095a0dbfe661,de52f6df-260b-4042-9a60-095a0dbfe661,19.10.1981,,Grupul parlamentar al Uniunii Democrate Maghiare din România,"Comisia economică, industrii, servicii, turism și antreprenoriat",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=3c24f5c4-46d1-4dcd-b035-49c8c90a40a3
ANTAL István-Loránt,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=de52f6df-260b-4042-9a60-095a0dbfe661,de52f6df-260b-4042-9a60-095a0dbfe661,19.10.1981,,Grupul parlamentar al Uniunii Democrate Maghiare din România,"Comisia pentru energie, infrastructură energetică și resurse minerale",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=fce2aea4-104c-4495-a3c1-41a9bd7e5f37
BARCARI Dorina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=edf20da3-a851-4622-b534-0b3d833a51b9,edf20da3-a851-4622-b534-0b3d833a51b9,19.02.1950,,Grupul parlamentar Alianța pentru Unirea Românilor,"Comisia pentru muncă, familie și protecție socială",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7cae207a-3ae5-4cf6-8568-eb3bf69a9b88
BEM Cristian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=00aee4d2-ea00-4484-9a67-0c2f8a0459f8,00aee4d2-ea00-4484-9a67-0c2f8a0459f8,23.11.1972,,Grupul parlamentar al Partidului S.O.S. România,"Comisia pentru ape, păduri, pescuit și fond cinegetic",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=842e844e-f500-4afd-adb1-602f37a0266d
BEM Cristian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=00aee4d2-ea00-4484-9a67-0c2f8a0459f8,00aee4d2-ea00-4484-9a67-0c2f8a0459f8,23.11.1972,,Grupul parlamentar al Partidului S.O.S. România,Comisia pentru regulament,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=807773c0-c6eb-401f-b87e-42c34b9213fb
BICǍ Andra,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b9c904e7-969f-4126-b0e1-0ebd3a003cc5,b9c904e7-969f-4126-b0e1-0ebd3a003cc5,30.06.1982,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru ape, păduri, pescuit și fond cinegetic",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=842e844e-f500-4afd-adb1-602f37a0266d
BICǍ Andra,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b9c904e7-969f-4126-b0e1-0ebd3a003cc5,b9c904e7-969f-4126-b0e1-0ebd3a003cc5,30.06.1982,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
BLAGA Vasile,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33d88102-6e65-4934-9ecf-10102445c2c4,33d88102-6e65-4934-9ecf-10102445c2c4,26.07.1956,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
BLAGA Vasile,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33d88102-6e65-4934-9ecf-10102445c2c4,33d88102-6e65-4934-9ecf-10102445c2c4,26.07.1956,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru administrație publică,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=c20e16f6-9734-41da-be13-6beb4702be25
BLAGA Vasile,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33d88102-6e65-4934-9ecf-10102445c2c4,33d88102-6e65-4934-9ecf-10102445c2c4,26.07.1956,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru regulament,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=807773c0-c6eb-401f-b87e-42c34b9213fb
BOCHILEANU George-Cătălin,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=bff3c30a-425f-4b6d-8d4f-1285c1bde059,bff3c30a-425f-4b6d-8d4f-1285c1bde059,15.06.1988,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru politică externă,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=38806053-9772-4798-9c4d-a7508d4358ca
BOCHILEANU George-Cătălin,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=bff3c30a-425f-4b6d-8d4f-1285c1bde059,bff3c30a-425f-4b6d-8d4f-1285c1bde059,15.06.1988,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru drepturile omului, egalitate de șanse, culte și minorități",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=1d044a32-1bad-4adf-925e-0abab63af58a
BOCHILEANU George-Cătălin,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=bff3c30a-425f-4b6d-8d4f-1285c1bde059,bff3c30a-425f-4b6d-8d4f-1285c1bde059,15.06.1988,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru românii de pretutindeni,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a3ba8a6b-8b59-47b1-8932-0d30b5f7add1
BODEA Marius,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dc8f43fb-e036-477b-b895-12f56a2464c1,dc8f43fb-e036-477b-b895-12f56a2464c1,09.06.1976,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
BODEA Marius,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dc8f43fb-e036-477b-b895-12f56a2464c1,dc8f43fb-e036-477b-b895-12f56a2464c1,09.06.1976,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru transporturi și infrastructură,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=0f905a32-3397-4e52-b3e1-9ba3319cfcc3
BOLOJAN Ilie,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=813d6a81-cea1-4ac6-9717-143a859d4bde,813d6a81-cea1-4ac6-9717-143a859d4bde,17.03.1969,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru sănătate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7f7c09a7-7ae7-4e99-9018-a9c5774ef858
BORȚUN Ştefan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=29201640-de4e-47ff-89b2-18126d2790ae,29201640-de4e-47ff-89b2-18126d2790ae,12.04.1970,,Grupul parlamentar al Partidului Oamenilor Tineri,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
BORȚUN Ştefan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=29201640-de4e-47ff-89b2-18126d2790ae,29201640-de4e-47ff-89b2-18126d2790ae,12.04.1970,,Grupul parlamentar al Partidului Oamenilor Tineri,"Comisia pentru energie, infrastructură energetică și resurse minerale",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=fce2aea4-104c-4495-a3c1-41a9bd7e5f37
BORȚUN Ştefan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=29201640-de4e-47ff-89b2-18126d2790ae,29201640-de4e-47ff-89b2-18126d2790ae,12.04.1970,,Grupul parlamentar al Partidului Oamenilor Tineri,Comisia pentru regulament,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=807773c0-c6eb-401f-b87e-42c34b9213fb
BOTA Gheorghe-Ioan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=86228ca2-986a-40ba-9ed8-1a975ed32f9c,86228ca2-986a-40ba-9ed8-1a975ed32f9c,28.05.1974,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru administrație publică,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=c20e16f6-9734-41da-be13-6beb4702be25
BOTA Gheorghe-Ioan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=86228ca2-986a-40ba-9ed8-1a975ed32f9c,86228ca2-986a-40ba-9ed8-1a975ed32f9c,28.05.1974,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
BUZATU Oana-Constantina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6a194230-e597-4335-8ce2-1da0b0aae9c4,6a194230-e597-4335-8ce2-1da0b0aae9c4,29.08.1983,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru cultură și media,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=bf3d1ac6-e2d1-4c07-bd5e-b2191548714b
BUZATU Oana-Constantina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6a194230-e597-4335-8ce2-1da0b0aae9c4,6a194230-e597-4335-8ce2-1da0b0aae9c4,29.08.1983,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru comunicații, tehnologia informației și inteligență artificială",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=ef36e8b3-2fb2-43e8-bd6d-1ad040db24b3
BUZATU Oana-Constantina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6a194230-e597-4335-8ce2-1da0b0aae9c4,6a194230-e597-4335-8ce2-1da0b0aae9c4,29.08.1983,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru mediu,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=3bb3386f-054f-4cc4-8374-0b5c3b9a3e12
CARP Ionel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=65699efd-f7e5-4128-b80f-1ef173563d66,65699efd-f7e5-4128-b80f-1ef173563d66,18.06.1976,,Grupul parlamentar al Partidului S.O.S. România,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
CARP Ionel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=65699efd-f7e5-4128-b80f-1ef173563d66,65699efd-f7e5-4128-b80f-1ef173563d66,18.06.1976,,Grupul parlamentar al Partidului S.O.S. România,"Comisia pentru drepturile omului, egalitate de șanse, culte și minorități",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=1d044a32-1bad-4adf-925e-0abab63af58a
CAȘCAVAL Dan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=d7829eb2-a908-43c2-8f3f-1f1ad550b9e6,d7829eb2-a908-43c2-8f3f-1f1ad550b9e6,20.11.1964,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru muncă, familie și protecție socială",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7cae207a-3ae5-4cf6-8568-eb3bf69a9b88
CAȘCAVAL Dan,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=d7829eb2-a908-43c2-8f3f-1f1ad550b9e6,d7829eb2-a908-43c2-8f3f-1f1ad550b9e6,20.11.1964,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
CATANA Claudiu-Daniel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=94afc16b-0d0b-45be-a844-2110c5c3bc0a,94afc16b-0d0b-45be-a844-2110c5c3bc0a,08.02.1987,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
CATANA Claudiu-Daniel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=94afc16b-0d0b-45be-a844-2110c5c3bc0a,94afc16b-0d0b-45be-a844-2110c5c3bc0a,08.02.1987,,Grupul parlamentar al Partidului Social Democrat,"Comisia economică, industrii, servicii, turism și antreprenoriat",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=3c24f5c4-46d1-4dcd-b035-49c8c90a40a3
CATANA Claudiu-Daniel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=94afc16b-0d0b-45be-a844-2110c5c3bc0a,94afc16b-0d0b-45be-a844-2110c5c3bc0a,08.02.1987,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru tineret și sport,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=2bd4bd40-5994-40a8-81b7-fcef2df3acfc
CAZANCIUC Robert-Marius,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33c6752d-c2b6-42af-a6b4-233b9f6e9994,33c6752d-c2b6-42af-a6b4-233b9f6e9994,26.11.1971,,Grupul parlamentar al Partidului Social Democrat,"Comisia juridică, de numiri, disciplină, imunități și validări",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=8b2f7bb0-388e-46c7-b3cc-ef38d3968da3
CAZANCIUC Robert-Marius,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33c6752d-c2b6-42af-a6b4-233b9f6e9994,33c6752d-c2b6-42af-a6b4-233b9f6e9994,26.11.1971,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru politică externă,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=38806053-9772-4798-9c4d-a7508d4358ca
CERNIC Sebastian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=ce14b3e6-9e25-4840-a0b0-23f33c6db73c,ce14b3e6-9e25-4840-a0b0-23f33c6db73c,06.05.1982,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru agricultură, industrie alimentară si dezvoltare rurală",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=fee2c024-fa84-489f-bb69-e3b434e0d5fd
CERNIC Sebastian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=ce14b3e6-9e25-4840-a0b0-23f33c6db73c,ce14b3e6-9e25-4840-a0b0-23f33c6db73c,06.05.1982,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru ape, păduri, pescuit și fond cinegetic",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=842e844e-f500-4afd-adb1-602f37a0266d
CERVA Nadia-Cosmina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=31c2cf8c-ba75-4086-9359-6cfed5bb857d,31c2cf8c-ba75-4086-9359-6cfed5bb857d,08.10.1975,,Grupul parlamentar al Partidului S.O.S. România,"Comisia juridică, de numiri, disciplină, imunități și validări",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=8b2f7bb0-388e-46c7-b3cc-ef38d3968da3
CERVA Nadia-Cosmina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=31c2cf8c-ba75-4086-9359-6cfed5bb857d,31c2cf8c-ba75-4086-9359-6cfed5bb857d,08.10.1975,,Grupul parlamentar al Partidului S.O.S. România,Comisia pentru constituționalitate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=75fd4832-f4ba-4690-9f6d-5959b0b950fa
CHELARU Mircia,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=9cd64c47-2be4-43ed-8b32-249577fe8c97,9cd64c47-2be4-43ed-8b32-249577fe8c97,03.07.1949,,Grupul parlamentar Alianța pentru Unirea Românilor,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
CHERTIF Costache,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=9d98d226-76aa-4dec-9d8d-24a83d344dfb,9d98d226-76aa-4dec-9d8d-24a83d344dfb,01.11.1955,,Grupul parlamentar Alianța pentru Unirea Românilor,Comisia pentru sănătate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7f7c09a7-7ae7-4e99-9018-a9c5774ef858
CHERTIF Costache,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=9d98d226-76aa-4dec-9d8d-24a83d344dfb,9d98d226-76aa-4dec-9d8d-24a83d344dfb,01.11.1955,,Grupul parlamentar Alianța pentru Unirea Românilor,Comisia pentru mediu,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=3bb3386f-054f-4cc4-8374-0b5c3b9a3e12
CIBU DEACONU Ruxandra,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=0a8b45a7-e661-4c59-9169-281f79ff12eb,0a8b45a7-e661-4c59-9169-281f79ff12eb,07.03.1979,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru sănătate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7f7c09a7-7ae7-4e99-9018-a9c5774ef858
CIBU DEACONU Ruxandra,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=0a8b45a7-e661-4c59-9169-281f79ff12eb,0a8b45a7-e661-4c59-9169-281f79ff12eb,07.03.1979,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru tineret și sport,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=2bd4bd40-5994-40a8-81b7-fcef2df3acfc
CIUCǍ Nicolae-Ionel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6891c220-7d4e-4741-a6d7-2bcfb8fd1929,6891c220-7d4e-4741-a6d7-2bcfb8fd1929,07.02.1967,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
CIUCǍ Nicolae-Ionel,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=6891c220-7d4e-4741-a6d7-2bcfb8fd1929,6891c220-7d4e-4741-a6d7-2bcfb8fd1929,07.02.1967,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru afaceri europene,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=0b43e912-a027-4003-942c-073d8c82af92
CIUPERCEANU Ionuț-Ciprian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=801216b9-b47e-419b-bd9f-2da44629e975,801216b9-b47e-419b-bd9f-2da44629e975,26.01.1986,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru buget, finanțe, activitate bancară și piață de capital",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=19d004bb-ad2a-43e6-b258-5495b37aa7af
CIUPERCEANU Ionuț-Ciprian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=801216b9-b47e-419b-bd9f-2da44629e975,801216b9-b47e-419b-bd9f-2da44629e975,26.01.1986,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru cercetarea abuzurilor, combaterea corupției și petiții",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=f8ec429d-75f4-4b5b-a199-1eaa5eeace09
CIUPERCEANU Ionuț-Ciprian,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=801216b9-b47e-419b-bd9f-2da44629e975,801216b9-b47e-419b-bd9f-2da44629e975,26.01.1986,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru tineret și sport,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=2bd4bd40-5994-40a8-81b7-fcef2df3acfc
CÎMPEANU Sorin-Mihai,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e358037e-262e-4bc0-b1d8-30016595005f,e358037e-262e-4bc0-b1d8-30016595005f,18.04.1968,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru politică externă,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=38806053-9772-4798-9c4d-a7508d4358ca
CÎMPEANU Sorin-Mihai,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e358037e-262e-4bc0-b1d8-30016595005f,e358037e-262e-4bc0-b1d8-30016595005f,18.04.1968,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
CONSTANTINESCU Rodica,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=fa667a85-17d1-4cb5-a5db-322d48fcd38d,fa667a85-17d1-4cb5-a5db-322d48fcd38d,02.03.1984,,Grupul parlamentar Alianța pentru Unirea Românilor,"Comisia pentru agricultură, industrie alimentară si dezvoltare rurală",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=fee2c024-fa84-489f-bb69-e3b434e0d5fd
CONSTANTINESCU Rodica,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=fa667a85-17d1-4cb5-a5db-322d48fcd38d,fa667a85-17d1-4cb5-a5db-322d48fcd38d,02.03.1984,,Grupul parlamentar Alianța pentru Unirea Românilor,"Comisia pentru drepturile omului, egalitate de șanse, culte și minorități",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=1d044a32-1bad-4adf-925e-0abab63af58a
CORLǍȚEAN Titus,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7aebffad-47e6-4c7e-bdfb-34360e888703,7aebffad-47e6-4c7e-bdfb-34360e888703,11.01.1968,,Grupul parlamentar al Partidului Social Democrat,Comisia pentru politică externă,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=38806053-9772-4798-9c4d-a7508d4358ca
CORLǍȚEAN Titus,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7aebffad-47e6-4c7e-bdfb-34360e888703,7aebffad-47e6-4c7e-bdfb-34360e888703,11.01.1968,,Grupul parlamentar al Partidului Social Democrat,"Comisia pentru apărare, ordine publică și siguranță națională",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a825a62e-47e5-47d6-bcf5-a5d23e3382bf
